,DATE,Country,New_cases,unemp,gdp,cpi
384,2016-05-01,EURO,0.0,,99.9659961540335,
385,2016-06-01,EURO,0.0,,99.9524712688945,
386,2016-07-01,EURO,0.0,,99.9516085183439,
387,2016-08-01,EURO,0.0,,99.9668258240002,
144,2016-09-01,EURO,0.0,9.9,99.9994239262451,
145,2016-10-01,EURO,0.0,9.8,100.048159062564,100.96
146,2016-11-01,EURO,0.0,9.8,100.110490071762,100.6
147,2016-12-01,EURO,0.0,9.7,100.183945108827,101.13
148,2017-01-01,EURO,0.0,9.6,100.264707944908,100.26
149,2017-02-01,EURO,0.0,9.5,100.349614898314,100.66
150,2017-03-01,EURO,0.0,9.4,100.43624233789,101.49
151,2017-04-01,EURO,0.0,9.2,100.523028452766,102.07
152,2017-05-01,EURO,0.0,9.2,100.608618057577,101.98
153,2017-06-01,EURO,0.0,9.1,100.691901615278,102.08
154,2017-07-01,EURO,0.0,9.0,100.772044206251,101.62
155,2017-08-01,EURO,0.0,9.0,100.846927943297,101.89
156,2017-09-01,EURO,0.0,8.9,100.911724086453,102.29
157,2017-10-01,EURO,0.0,8.8,100.957742511909,102.34
158,2017-11-01,EURO,0.0,8.7,100.976129857107,102.14
159,2017-12-01,EURO,0.0,8.7,100.962850568382,102.49
160,2018-01-01,EURO,0.0,8.7,100.925554564626,101.56
161,2018-02-01,EURO,0.0,8.6,100.875913651877,101.78
162,2018-03-01,EURO,0.0,8.5,100.823756385591,102.91
163,2018-04-01,EURO,0.0,8.4,100.772058465774,103.32
164,2018-05-01,EURO,0.0,8.3,100.720970050894,103.97
165,2018-06-01,EURO,0.0,8.2,100.671847261151,104.09
166,2018-07-01,EURO,0.0,8.1,100.631247361744,103.85
167,2018-08-01,EURO,0.0,8.0,100.607305319608,104.01
168,2018-09-01,EURO,0.0,8.0,100.605622221644,104.42
169,2018-10-01,EURO,0.0,8.0,100.624077924016,104.68
170,2018-11-01,EURO,0.0,7.9,100.656204866317,104.1
171,2018-12-01,EURO,0.0,7.8,100.693130266204,104.05
172,2019-01-01,EURO,0.0,7.8,100.724555629537,102.97
173,2019-02-01,EURO,0.0,7.8,100.740758954295,103.3
174,2019-03-01,EURO,0.0,7.7,100.735827367805,104.35
175,2019-04-01,EURO,0.0,7.7,100.710534382427,105.1
176,2019-05-01,EURO,0.0,7.7,100.668303516168,105.24
177,2019-06-01,EURO,0.0,7.5,100.612326859143,105.41
178,2019-07-01,EURO,0.0,7.5,100.543873704963,104.91
179,2019-08-01,EURO,0.0,7.4,100.463266769555,105.06
180,2019-09-01,EURO,0.0,7.4,100.371738535578,105.29
181,2019-10-01,EURO,0.0,7.4,100.274158951434,105.44
182,2019-11-01,EURO,0.0,7.5,100.176628378136,105.1
183,2019-12-01,EURO,0.0,7.4,100.084543834456,105.43
0,2020-01-01,EURO,19.0,7.5,100.000708581263,104.37
1,2020-02-01,EURO,1144.0,7.4,99.9270079596447,104.56
2,2020-03-01,EURO,460762.0,7.1,89.6692290973119,105.13
3,2020-04-01,EURO,984664.0,7.3,87.4683979095019,105.43
4,2020-05-01,EURO,680892.0,7.5,86.2763708098359,105.33
5,2020-06-01,EURO,550187.0,8.0,89.3578077663731,105.69
6,2020-07-01,EURO,689711.0,8.4,92.4184878392788,105.32
7,2020-08-01,EURO,1171058.0,8.6,95.4515866192624,104.88
8,2020-09-01,EURO,1877595.0,8.6,95.2767691944414,104.96
9,2020-10-01,EURO,5416139.0,8.4,95.0912794681019,105.15
10,2020-11-01,EURO,7841334.0,8.1,94.9173051883709,104.8
11,2020-12-01,EURO,7562136.0,8.1,94.6774158507825,105.15
12,2021-01-01,EURO,7184092.0,8.2,94.4505389792205,105.32
13,2021-02-01,EURO,4172996.0,8.1,94.2331404289803,105.54
14,2021-03-01,EURO,6177649.0,8.1,94.6874404533807,106.53
15,2021-04-01,EURO,6576198.0,8.1,95.1442856583975,107.14
16,2021-05-01,EURO,2994274.0,8.0,95.6021211730385,107.42
17,2021-06-01,EURO,1598537.0,7.8,,107.7
18,2021-07-01,EURO,4115237.0,7.6,,107.6
19,2021-08-01,EURO,5116451.0,7.5,,107.98
20,2021-09-01,EURO,4905064.0,7.4,,108.49
21,2021-10-01,EURO,6732305.0,,,109.41
22,2021-11-01,EURO,10056234.0,,,
23,2021-12-01,EURO,400871.0,,,
395,2016-08-01,France,0.0,,99.2648376270098,
344,2016-09-01,France,0.0,9.9,99.2738431974357,100.34
345,2016-10-01,France,0.0,10.0,99.3218487123792,100.37
346,2016-11-01,France,0.0,10.0,99.4052677416673,100.35
347,2016-12-01,France,0.0,10.0,99.5188445569161,100.65
348,2017-01-01,France,0.0,9.7,99.6538694819912,100.41
349,2017-02-01,France,0.0,9.6,99.8012995073188,100.53
350,2017-03-01,France,0.0,9.6,99.953236079962,101.17
351,2017-04-01,France,0.0,9.5,100.103414110295,101.26
352,2017-05-01,France,0.0,9.5,100.24728426386,101.31
353,2017-06-01,France,0.0,9.5,100.382125960015,101.32
354,2017-07-01,France,0.0,9.6,100.507522355327,100.97
355,2017-08-01,France,0.0,9.5,100.622019259423,101.49
356,2017-09-01,France,0.0,9.3,100.720380888932,101.33
357,2017-10-01,France,0.0,9.2,100.791563801719,101.43
358,2017-11-01,France,0.0,9.1,100.823871007484,101.53
359,2017-12-01,France,0.0,9.1,100.812013222584,101.85
360,2018-01-01,France,0.0,9.2,100.766876747764,101.75
361,2018-02-01,France,0.0,9.2,100.705992750799,101.72
362,2018-03-01,France,0.0,9.2,100.646388684594,102.75
363,2018-04-01,France,0.0,9.2,100.598612986756,102.92
364,2018-05-01,France,0.0,9.2,100.5693487864,103.36
365,2018-06-01,France,0.0,9.1,100.56317764771,103.37
366,2018-07-01,France,0.0,8.9,100.583015437257,103.28
367,2018-08-01,France,0.0,8.9,100.630551906063,103.78
368,2018-09-01,France,0.0,8.9,100.704825237834,103.56
369,2018-10-01,France,0.0,8.8,100.798804394937,103.67
370,2018-11-01,France,0.0,8.8,100.902992043001,103.45
371,2018-12-01,France,0.0,8.8,101.007611462238,103.47
372,2019-01-01,France,0.0,8.7,101.104069552019,103.01
373,2019-02-01,France,0.0,8.6,101.183899063894,103.06
