,owid__Unnamed: 0,owid__iso_code,owid__continent,owid__location,owid__date,owid__total_cases,owid__new_cases,owid__new_cases_smoothed,owid__total_deaths,owid__new_deaths,owid__new_deaths_smoothed,owid__total_cases_per_million,owid__new_cases_per_million,owid__new_cases_smoothed_per_million,owid__total_deaths_per_million,owid__new_deaths_per_million,owid__new_deaths_smoothed_per_million,owid__reproduction_rate,owid__icu_patients,owid__icu_patients_per_million,owid__hosp_patients,owid__hosp_patients_per_million,owid__weekly_icu_admissions,owid__weekly_icu_admissions_per_million,owid__weekly_hosp_admissions,owid__weekly_hosp_admissions_per_million,owid__new_tests,owid__total_tests,owid__total_tests_per_thousand,owid__new_tests_per_thousand,owid__new_tests_smoothed,owid__new_tests_smoothed_per_thousand,owid__positive_rate,owid__tests_per_case,owid__tests_units,owid__total_vaccinations,owid__people_vaccinated,owid__people_fully_vaccinated,owid__total_boosters,owid__new_vaccinations,owid__new_vaccinations_smoothed,owid__total_vaccinations_per_hundred,owid__people_vaccinated_per_hundred,owid__people_fully_vaccinated_per_hundred,owid__total_boosters_per_hundred,owid__new_vaccinations_smoothed_per_million,owid__stringency_index,owid__population,owid__population_density,owid__median_age,owid__aged_65_older,owid__aged_70_older,owid__gdp_per_capita,owid__extreme_poverty,owid__cardiovasc_death_rate,owid__diabetes_prevalence,owid__female_smokers,owid__male_smokers,owid__handwashing_facilities,owid__hospital_beds_per_thousand,owid__life_expectancy,owid__human_development_index,owid__excess_mortality_cumulative_absolute,owid__excess_mortality_cumulative,owid__excess_mortality,owid__excess_mortality_cumulative_per_million,who__Unnamed: 0,who__Date_reported,who__Country_code,who__Country,who__WHO_region,who__New_cases,who__Cumulative_cases,who__New_deaths,who__Cumulative_deaths,date,country,max_new_deaths,max_new_cases,max_new_deaths_ma7,max_new_deaths_ma14
41617,41617.0,DEU,Europe,germany,2021-01-01,1762637.0,2117.0,18557.286,34145.0,354.0,652.143,21008.666,25.232,221.182,406.97,4.219,7.773,0.93,5583.0,66.543,,,,,,,,,,,130804.0,1.559,,,tests performed,232477.0,231623.0,852.0,2.0,25461.0,41626.0,0.28,0.28,0.0,0.0,496.0,82.41,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,,49874.0,2021-01-01,DE,germany,EURO,22924.0,1742661.0,553.0,33624.0,2021-01-01,germany,553.0,22924.0,751.4,737.2142857142857
41618,41618.0,DEU,Europe,germany,2021-01-02,1773540.0,10903.0,18185.714,34480.0,335.0,647.714,21138.618,129.952,216.753,410.963,3.993,7.72,0.94,5703.0,67.973,,,,,,,,,,,125811.0,1.5,,,tests performed,280551.0,279620.0,929.0,2.0,48074.0,42701.0,0.33,0.33,0.0,0.0,509.0,82.41,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,,49875.0,2021-01-02,DE,germany,EURO,12690.0,1755351.0,336.0,33960.0,2021-01-02,germany,336.0,12690.0,688.8,711.0714285714286
41619,41619.0,DEU,Europe,germany,2021-01-03,1783896.0,10356.0,17893.857,34791.0,311.0,642.0,21262.05,123.432,213.275,414.67,3.707,7.652,0.96,5745.0,68.474,,,,,7793.156,92.886,,36016829.0,429.28,,120818.0,1.44,0.154,6.5,tests performed,303108.0,302173.0,933.0,2.0,22557.0,39823.0,0.36,0.36,0.0,0.0,475.0,82.41,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,31209.5,3.22,35.76,371.982417118969,49876.0,2021-01-03,DE,germany,EURO,10315.0,1765666.0,312.0,34272.0,2021-01-03,germany,312.0,10356.0,639.8,704.1428571428571
41620,41620.0,DEU,Europe,germany,2021-01-04,1796216.0,12320.0,17653.286,35748.0,957.0,657.571,21408.891,146.841,210.407,426.076,11.406,7.838,0.98,5723.0,68.212,,,,,,,,,,,128689.0,1.534,,,tests performed,349159.0,348173.0,984.0,2.0,46051.0,43816.0,0.42,0.41,0.0,0.0,522.0,82.41,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,,49877.0,2021-01-04,DE,germany,EURO,9847.0,1775513.0,302.0,34574.0,2021-01-04,germany,957.0,12320.0,694.3,721.7857142857143
41621,41621.0,DEU,Europe,germany,2021-01-05,1814565.0,18349.0,17493.714,36757.0,1009.0,641.429,21627.59,218.7,208.506,438.102,12.026,7.645,1.0,5650.0,67.342,,,,,,,,,,,136560.0,1.628,,,tests performed,401819.0,400746.0,1071.0,2.0,52660.0,44109.0,0.48,0.48,0.0,0.0,526.0,85.19,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,,49878.0,2021-01-05,DE,germany,EURO,11897.0,1787410.0,944.0,35518.0,2021-01-05,germany,1009.0,18349.0,758.6,723.4285714285714
41622,41622.0,DEU,Europe,germany,2021-01-06,1841228.0,26663.0,14296.429,37835.0,1078.0,657.857,21945.383,317.793,170.397,450.951,12.849,7.841,1.02,5552.0,66.174,,,,,,,,,,,144431.0,1.721,,,tests performed,464959.0,463798.0,1159.0,2.0,63140.0,43988.0,0.55,0.55,0.0,0.0,524.0,85.19,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,,49879.0,2021-01-06,DE,germany,EURO,21237.0,1808647.0,1019.0,36537.0,2021-01-06,germany,1078.0,26663.0,830.8,731.7142857142857
41623,41623.0,DEU,Europe,germany,2021-01-07,1886561.0,45333.0,18005.857,38987.0,1152.0,742.286,22485.702,540.319,214.61,464.682,13.731,8.847,1.04,5474.0,65.244,,,,,,,,,,,152302.0,1.815,,,tests performed,519735.0,518554.0,1180.0,2.0,54776.0,44674.0,0.62,0.62,0.0,0.0,532.0,85.19,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,,49880.0,2021-01-07,DE,germany,EURO,26391.0,1835038.0,1070.0,37607.0,2021-01-07,germany,1152.0,45333.0,861.2,756.7142857142857
41624,41624.0,DEU,Europe,germany,2021-01-08,1905638.0,19077.0,20428.714,40022.0,1035.0,839.571,22713.079,227.377,243.487,477.018,12.336,10.007,1.02,5467.0,65.161,,,,,,,,,,,160173.0,1.909,,,tests performed,582539.0,581255.0,1283.0,2.0,62804.0,50009.0,0.69,0.69,0.0,0.0,596.0,85.19,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,,49881.0,2021-01-08,DE,germany,EURO,31849.0,1866887.0,1188.0,38795.0,2021-01-08,germany,1188.0,31849.0,867.8,812.1428571428571
41625,41625.0,DEU,Europe,germany,2021-01-09,1928462.0,22824.0,22131.714,40597.0,575.0,873.857,22985.115,272.037,263.785,483.871,6.853,10.415,1.0,5398.0,64.338,,,,,,,,,,,168044.0,2.003,,,tests performed,643231.0,641803.0,1427.0,2.0,60692.0,51811.0,0.77,0.76,0.0,0.0,618.0,85.19,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,,,,,49882.0,2021-01-09,DE,germany,EURO,24694.0,1891581.0,1083.0,39878.0,2021-01-09,germany,1083.0,24694.0,863.2,863.3571428571429
41626,41626.0,DEU,Europe,germany,2021-01-10,1929410.0,948.0,20787.714,40936.0,339.0,877.857,22996.414,11.299,247.766,487.911,4.041,10.463,0.97,5300.0,63.17,,,,,7537.924,89.844,,37248234.0,443.957,,175915.0,2.097,0.128,7.8,tests performed,679179.0,677637.0,1541.0,2.0,35948.0,53724.0,0.81,0.81,0.0,0.0,640.0,83.33,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,36376.8,3.68,26.31,433.570867558062,49883.0,2021-01-10,DE,germany,EURO,16946.0,1908527.0,465.0,40343.0,2021-01-10,germany,465.0,16946.0,813.3,871.1428571428571
