,DATE,Production,Country
0,2016-08-01,98.1,EURO
1,2016-09-01,98.2,EURO
2,2016-10-01,98.9,EURO
3,2016-11-01,99.3,EURO
4,2016-12-01,100.1,EURO
5,2017-01-01,100.9,EURO
6,2017-02-01,100.9,EURO
7,2017-03-01,100.7,EURO
8,2017-04-01,100.9,EURO
9,2017-05-01,100.5,EURO
10,2017-06-01,100.2,EURO
11,2017-07-01,100.1,EURO
12,2017-08-01,100.2,EURO
13,2017-09-01,100.6,EURO
14,2017-10-01,100.7,EURO
15,2017-11-01,101.3,EURO
16,2017-12-01,101.6,EURO
17,2018-01-01,101.9,EURO
18,2018-02-01,101.8,EURO
19,2018-03-01,101.9,EURO
20,2018-04-01,101.9,EURO
21,2018-05-01,102.8,EURO
22,2018-06-01,103.2,EURO
23,2018-07-01,103.7,EURO
24,2018-08-01,104.0,EURO
25,2018-09-01,104.4,EURO
26,2018-10-01,104.8,EURO
27,2018-11-01,104.5,EURO
28,2018-12-01,103.8,EURO
29,2019-01-01,104.0,EURO
30,2019-02-01,104.1,EURO
31,2019-03-01,104.1,EURO
32,2019-04-01,104.1,EURO
33,2019-05-01,104.0,EURO
34,2019-06-01,103.4,EURO
35,2019-07-01,103.5,EURO
36,2019-08-01,103.2,EURO
37,2019-09-01,103.4,EURO
38,2019-10-01,103.2,EURO
39,2019-11-01,103.4,EURO
40,2019-12-01,103.5,EURO
41,2020-01-01,103.6,EURO
42,2020-02-01,103.1,EURO
43,2020-03-01,101.5,EURO
44,2020-04-01,99.8,EURO
45,2020-05-01,99.4,EURO
46,2020-06-01,99.9,EURO
47,2020-07-01,100.4,EURO
48,2020-08-01,100.4,EURO
49,2020-09-01,100.5,EURO
50,2020-10-01,100.8,EURO
51,2020-11-01,101.1,EURO
52,2020-12-01,101.6,EURO
53,2021-01-01,103.1,EURO
54,2021-02-01,103.8,EURO
55,2021-03-01,104.9,EURO
56,2021-04-01,105.8,EURO
57,2021-05-01,106.9,EURO
58,2021-06-01,108.3,EURO
59,2021-07-01,110.6,EURO
60,2021-08-01,111.7,EURO
