,DATE,Production,Country
0,2016-09-01,100.03,France
1,2016-10-01,99.57,France
2,2016-11-01,102.26,France
3,2016-12-01,100.88,France
4,2017-01-01,101.33,France
5,2017-02-01,100.15,France
6,2017-03-01,101.39,France
7,2017-04-01,101.07,France
8,2017-05-01,103.21,France
9,2017-06-01,102.04,France
10,2017-07-01,102.61,France
11,2017-08-01,102.79,France
12,2017-09-01,103.73,France
13,2017-10-01,104.13,France
14,2017-11-01,104.69,France
15,2017-12-01,105.74,France
16,2018-01-01,102.0,France
17,2018-02-01,103.27,France
18,2018-03-01,104.29,France
19,2018-04-01,102.89,France
20,2018-05-01,101.88,France
21,2018-06-01,103.77,France
22,2018-07-01,103.58,France
23,2018-08-01,104.18,France
24,2018-09-01,103.01,France
25,2018-10-01,103.85,France
26,2018-11-01,103.09,France
27,2018-12-01,104.17,France
28,2019-01-01,104.69,France
29,2019-02-01,104.61,France
30,2019-03-01,104.36,France
31,2019-04-01,104.36,France
32,2019-05-01,105.76,France
33,2019-06-01,103.42,France
34,2019-07-01,103.95,France
35,2019-08-01,102.9,France
36,2019-09-01,103.98,France
37,2019-10-01,103.65,France
38,2019-11-01,103.64,France
39,2019-12-01,101.16,France
40,2020-01-01,101.36,France
41,2020-02-01,103.26,France
42,2020-03-01,85.54,France
43,2020-04-01,67.9,France
44,2020-05-01,80.86,France
45,2020-06-01,91.3,France
46,2020-07-01,94.43,France
47,2020-08-01,95.52,France
48,2020-09-01,97.17,France
49,2020-10-01,99.14,France
50,2020-11-01,98.55,France
51,2020-12-01,98.02,France
52,2021-01-01,101.52,France
53,2021-02-01,96.82,France
54,2021-03-01,97.79,France
55,2021-04-01,97.72,France
56,2021-05-01,97.34,France
57,2021-06-01,97.73,France
58,2021-07-01,98.17,France
59,2021-08-01,99.2,France
60,2021-09-01,97.93,France
