,DATE,cpi,Country
0,2016-09-01,101.016836139357,Germany
1,2016-10-01,101.216869478246,Germany
2,2016-11-01,100.516752792132,Germany
3,2016-12-01,101.216869478246,Germany
4,2017-01-01,100.616769461577,Germany
5,2017-02-01,101.216869478246,Germany
6,2017-03-01,101.416902817136,Germany
7,2017-04-01,101.816969494916,Germany
8,2017-05-01,101.816969494916,Germany
9,2017-06-01,102.117019503251,Germany
10,2017-07-01,102.51708618103,Germany
11,2017-08-01,102.617102850475,Germany
12,2017-09-01,102.71711951992,Germany
13,2017-10-01,102.51708618103,Germany
14,2017-11-01,102.117019503251,Germany
15,2017-12-01,102.617102850475,Germany
16,2018-01-01,102.017002833806,Germany
17,2018-02-01,102.31705284214,Germany
18,2018-03-01,102.91715285881,Germany
19,2018-04-01,103.1171861977,Germany
20,2018-05-01,103.917319553259,Germany
21,2018-06-01,104.017336222704,Germany
22,2018-07-01,104.417402900483,Germany
23,2018-08-01,104.517419569928,Germany
24,2018-09-01,104.717452908818,Germany
25,2018-10-01,104.917486247708,Germany
26,2018-11-01,104.217369561594,Germany
27,2018-12-01,104.217369561594,Germany
28,2019-01-01,103.417236206034,Germany
29,2019-02-01,103.817302883814,Germany
30,2019-03-01,104.217369561594,Germany
31,2019-04-01,105.217536256043,Germany
32,2019-05-01,105.417569594933,Germany
33,2019-06-01,105.717619603267,Germany
34,2019-07-01,106.217702950492,Germany
35,2019-08-01,106.017669611602,Germany
36,2019-09-01,106.017669611602,Germany
37,2019-10-01,106.117686281047,Germany
38,2019-11-01,105.317552925488,Germany
39,2019-12-01,105.817636272712,Germany
40,2020-01-01,105.217536256043,Germany
41,2020-02-01,105.617602933822,Germany
42,2020-03-01,105.717619603267,Germany
43,2020-04-01,106.117686281047,Germany
44,2020-05-01,106.017669611602,Germany
45,2020-06-01,106.617769628271,Germany
46,2020-07-01,106.117686281047,Germany
47,2020-08-01,106.017669611602,Germany
48,2020-09-01,105.817636272712,Germany
49,2020-10-01,105.917652942157,Germany
50,2020-11-01,105.017502917153,Germany
51,2020-12-01,105.517586264377,Germany
52,2021-01-01,106.317719619937,Germany
53,2021-02-01,107.017836306051,Germany
54,2021-03-01,107.517919653276,Germany
55,2021-04-01,108.21803633939,Germany
56,2021-05-01,108.718119686614,Germany
57,2021-06-01,109.118186364394,Germany
58,2021-07-01,110.118353058843,Germany
59,2021-08-01,110.118353058843,Germany
60,2021-09-01,110.118353058843,Germany
