,DATE,cpi,Country
0,2016-10-01,100.96,EURO
1,2016-11-01,100.6,EURO
2,2016-12-01,101.13,EURO
3,2017-01-01,100.26,EURO
4,2017-02-01,100.66,EURO
5,2017-03-01,101.49,EURO
6,2017-04-01,102.07,EURO
7,2017-05-01,101.98,EURO
8,2017-06-01,102.08,EURO
9,2017-07-01,101.62,EURO
10,2017-08-01,101.89,EURO
11,2017-09-01,102.29,EURO
12,2017-10-01,102.34,EURO
13,2017-11-01,102.14,EURO
14,2017-12-01,102.49,EURO
15,2018-01-01,101.56,EURO
16,2018-02-01,101.78,EURO
17,2018-03-01,102.91,EURO
18,2018-04-01,103.32,EURO
19,2018-05-01,103.97,EURO
20,2018-06-01,104.09,EURO
21,2018-07-01,103.85,EURO
22,2018-08-01,104.01,EURO
23,2018-09-01,104.42,EURO
24,2018-10-01,104.68,EURO
25,2018-11-01,104.1,EURO
26,2018-12-01,104.05,EURO
27,2019-01-01,102.97,EURO
28,2019-02-01,103.3,EURO
29,2019-03-01,104.35,EURO
30,2019-04-01,105.1,EURO
31,2019-05-01,105.24,EURO
32,2019-06-01,105.41,EURO
33,2019-07-01,104.91,EURO
34,2019-08-01,105.06,EURO
35,2019-09-01,105.29,EURO
36,2019-10-01,105.44,EURO
37,2019-11-01,105.1,EURO
38,2019-12-01,105.43,EURO
39,2020-01-01,104.37,EURO
40,2020-02-01,104.56,EURO
41,2020-03-01,105.13,EURO
42,2020-04-01,105.43,EURO
43,2020-05-01,105.33,EURO
44,2020-06-01,105.69,EURO
45,2020-07-01,105.32,EURO
46,2020-08-01,104.88,EURO
47,2020-09-01,104.96,EURO
48,2020-10-01,105.15,EURO
49,2020-11-01,104.8,EURO
50,2020-12-01,105.15,EURO
51,2021-01-01,105.32,EURO
52,2021-02-01,105.54,EURO
53,2021-03-01,106.53,EURO
54,2021-04-01,107.14,EURO
55,2021-05-01,107.42,EURO
56,2021-06-01,107.7,EURO
57,2021-07-01,107.6,EURO
58,2021-08-01,107.98,EURO
59,2021-09-01,108.49,EURO
60,2021-10-01,109.41,EURO
