,DATE,cpi,Country
0,2016-09-01,100.34,France
1,2016-10-01,100.37,France
2,2016-11-01,100.35,France
3,2016-12-01,100.65,France
4,2017-01-01,100.41,France
5,2017-02-01,100.53,France
6,2017-03-01,101.17,France
7,2017-04-01,101.26,France
8,2017-05-01,101.31,France
9,2017-06-01,101.32,France
10,2017-07-01,100.97,France
11,2017-08-01,101.49,France
12,2017-09-01,101.33,France
13,2017-10-01,101.43,France
14,2017-11-01,101.53,France
15,2017-12-01,101.85,France
16,2018-01-01,101.75,France
17,2018-02-01,101.72,France
18,2018-03-01,102.75,France
19,2018-04-01,102.92,France
20,2018-05-01,103.36,France
21,2018-06-01,103.37,France
22,2018-07-01,103.28,France
23,2018-08-01,103.78,France
24,2018-09-01,103.56,France
25,2018-10-01,103.67,France
26,2018-11-01,103.45,France
27,2018-12-01,103.47,France
28,2019-01-01,103.01,France
29,2019-02-01,103.06,France
30,2019-03-01,103.89,France
31,2019-04-01,104.22,France
32,2019-05-01,104.33,France
33,2019-06-01,104.58,France
34,2019-07-01,104.38,France
35,2019-08-01,104.86,France
36,2019-09-01,104.5,France
37,2019-10-01,104.46,France
38,2019-11-01,104.52,France
39,2019-12-01,104.98,France
40,2020-01-01,104.54,France
41,2020-02-01,104.53,France
42,2020-03-01,104.59,France
43,2020-04-01,104.56,France
44,2020-05-01,104.71,France
45,2020-06-01,104.79,France
46,2020-07-01,105.19,France
47,2020-08-01,105.09,France
48,2020-09-01,104.55,France
49,2020-10-01,104.51,France
50,2020-11-01,104.73,France
51,2020-12-01,104.96,France
52,2021-01-01,105.12,France
53,2021-02-01,105.12,France
54,2021-03-01,105.75,France
55,2021-04-01,105.86,France
56,2021-05-01,106.2,France
57,2021-06-01,106.34,France
58,2021-07-01,106.4,France
59,2021-08-01,107.05,France
60,2021-09-01,106.81,France
