,DATE,cpi,Country
0,2016-09-01,100.1,Italy
1,2016-10-01,100.0,Italy
2,2016-11-01,99.9,Italy
3,2016-12-01,100.3,Italy
4,2017-01-01,100.6,Italy
5,2017-02-01,101.0,Italy
6,2017-03-01,101.0,Italy
7,2017-04-01,101.4,Italy
8,2017-05-01,101.2,Italy
9,2017-06-01,101.1,Italy
10,2017-07-01,101.2,Italy
11,2017-08-01,101.5,Italy
12,2017-09-01,101.2,Italy
13,2017-10-01,101.0,Italy
14,2017-11-01,100.8,Italy
15,2017-12-01,101.2,Italy
16,2018-01-01,101.5,Italy
17,2018-02-01,101.5,Italy
18,2018-03-01,101.8,Italy
19,2018-04-01,101.9,Italy
20,2018-05-01,102.2,Italy
21,2018-06-01,102.4,Italy
22,2018-07-01,102.7,Italy
23,2018-08-01,103.1,Italy
24,2018-09-01,102.6,Italy
25,2018-10-01,102.6,Italy
26,2018-11-01,102.4,Italy
27,2018-12-01,102.3,Italy
28,2019-01-01,102.4,Italy
29,2019-02-01,102.5,Italy
30,2019-03-01,102.8,Italy
31,2019-04-01,103.0,Italy
32,2019-05-01,103.0,Italy
33,2019-06-01,103.1,Italy
34,2019-07-01,103.1,Italy
35,2019-08-01,103.5,Italy
36,2019-09-01,102.9,Italy
37,2019-10-01,102.8,Italy
38,2019-11-01,102.6,Italy
39,2019-12-01,102.8,Italy
40,2020-01-01,102.9,Italy
41,2020-02-01,102.8,Italy
42,2020-03-01,102.9,Italy
43,2020-04-01,103.0,Italy
44,2020-05-01,102.8,Italy
45,2020-06-01,102.9,Italy
46,2020-07-01,102.7,Italy
47,2020-08-01,103.0,Italy
48,2020-09-01,102.3,Italy
49,2020-10-01,102.5,Italy
50,2020-11-01,102.4,Italy
51,2020-12-01,102.6,Italy
52,2021-01-01,103.3,Italy
53,2021-02-01,103.4,Italy
54,2021-03-01,103.7,Italy
55,2021-04-01,104.1,Italy
56,2021-05-01,104.1,Italy
57,2021-06-01,104.2,Italy
58,2021-07-01,104.7,Italy
59,2021-08-01,105.1,Italy
60,2021-09-01,104.9,Italy
