,DATE,unemp,Country
0,2016-09-01,11.9,Italy
1,2016-10-01,11.7,Italy
2,2016-11-01,12.0,Italy
3,2016-12-01,11.8,Italy
4,2017-01-01,11.8,Italy
5,2017-02-01,11.5,Italy
6,2017-03-01,11.7,Italy
7,2017-04-01,11.2,Italy
8,2017-05-01,11.5,Italy
9,2017-06-01,11.2,Italy
10,2017-07-01,11.4,Italy
11,2017-08-01,11.4,Italy
12,2017-09-01,11.2,Italy
13,2017-10-01,11.1,Italy
14,2017-11-01,11.0,Italy
15,2017-12-01,10.9,Italy
16,2018-01-01,11.1,Italy
17,2018-02-01,10.8,Italy
18,2018-03-01,11.0,Italy
19,2018-04-01,11.1,Italy
20,2018-05-01,10.6,Italy
21,2018-06-01,10.9,Italy
22,2018-07-01,10.5,Italy
23,2018-08-01,10.2,Italy
24,2018-09-01,10.4,Italy
25,2018-10-01,10.8,Italy
26,2018-11-01,10.6,Italy
27,2018-12-01,10.3,Italy
28,2019-01-01,10.5,Italy
29,2019-02-01,10.5,Italy
30,2019-03-01,10.1,Italy
31,2019-04-01,10.4,Italy
32,2019-05-01,10.1,Italy
33,2019-06-01,9.7,Italy
34,2019-07-01,9.7,Italy
35,2019-08-01,9.6,Italy
36,2019-09-01,9.8,Italy
37,2019-10-01,9.7,Italy
38,2019-11-01,10.0,Italy
39,2019-12-01,9.9,Italy
40,2020-01-01,9.7,Italy
41,2020-02-01,9.7,Italy
42,2020-03-01,7.3,Italy
43,2020-04-01,7.4,Italy
44,2020-05-01,8.5,Italy
45,2020-06-01,9.5,Italy
46,2020-07-01,10.1,Italy
47,2020-08-01,10.0,Italy
48,2020-09-01,10.1,Italy
49,2020-10-01,10.1,Italy
50,2020-11-01,9.7,Italy
51,2020-12-01,9.8,Italy
52,2021-01-01,10.2,Italy
53,2021-02-01,10.1,Italy
54,2021-03-01,10.0,Italy
55,2021-04-01,10.1,Italy
56,2021-05-01,9.9,Italy
57,2021-06-01,9.3,Italy
58,2021-07-01,9.2,Italy
59,2021-08-01,9.3,Italy
60,2021-09-01,9.2,Italy
