,DATE,unemp,Country
0,2016-09-01,4.1,Germany
1,2016-10-01,4.0,Germany
2,2016-11-01,3.9,Germany
3,2016-12-01,3.9,Germany
4,2017-01-01,3.9,Germany
5,2017-02-01,3.9,Germany
6,2017-03-01,3.9,Germany
7,2017-04-01,3.8,Germany
8,2017-05-01,3.8,Germany
9,2017-06-01,3.8,Germany
10,2017-07-01,3.7,Germany
11,2017-08-01,3.7,Germany
12,2017-09-01,3.7,Germany
13,2017-10-01,3.7,Germany
14,2017-11-01,3.6,Germany
15,2017-12-01,3.6,Germany
16,2018-01-01,3.5,Germany
17,2018-02-01,3.5,Germany
18,2018-03-01,3.5,Germany
19,2018-04-01,3.4,Germany
20,2018-05-01,3.4,Germany
21,2018-06-01,3.4,Germany
22,2018-07-01,3.4,Germany
23,2018-08-01,3.4,Germany
24,2018-09-01,3.4,Germany
25,2018-10-01,3.3,Germany
26,2018-11-01,3.3,Germany
27,2018-12-01,3.3,Germany
28,2019-01-01,3.3,Germany
29,2019-02-01,3.2,Germany
30,2019-03-01,3.2,Germany
31,2019-04-01,3.2,Germany
32,2019-05-01,3.1,Germany
33,2019-06-01,3.1,Germany
34,2019-07-01,3.1,Germany
35,2019-08-01,3.1,Germany
36,2019-09-01,3.1,Germany
37,2019-10-01,3.1,Germany
38,2019-11-01,3.2,Germany
39,2019-12-01,3.3,Germany
40,2020-01-01,3.4,Germany
41,2020-02-01,3.5,Germany
42,2020-03-01,3.6,Germany
43,2020-04-01,3.7,Germany
44,2020-05-01,3.9,Germany
45,2020-06-01,4.0,Germany
46,2020-07-01,4.0,Germany
47,2020-08-01,4.1,Germany
48,2020-09-01,4.1,Germany
49,2020-10-01,4.1,Germany
50,2020-11-01,4.1,Germany
51,2020-12-01,4.0,Germany
52,2021-01-01,3.9,Germany
53,2021-02-01,3.9,Germany
54,2021-03-01,3.8,Germany
55,2021-04-01,3.7,Germany
56,2021-05-01,3.6,Germany
57,2021-06-01,3.5,Germany
58,2021-07-01,3.5,Germany
59,2021-08-01,3.4,Germany
60,2021-09-01,3.4,Germany
