,DATE,unemp,Country
0,2016-09-01,19.1,Spain
1,2016-10-01,18.8,Spain
2,2016-11-01,18.8,Spain
3,2016-12-01,18.6,Spain
4,2017-01-01,18.4,Spain
5,2017-02-01,18.3,Spain
6,2017-03-01,18.0,Spain
7,2017-04-01,17.6,Spain
8,2017-05-01,17.3,Spain
9,2017-06-01,17.0,Spain
10,2017-07-01,16.8,Spain
11,2017-08-01,16.7,Spain
12,2017-09-01,16.6,Spain
13,2017-10-01,16.6,Spain
14,2017-11-01,16.7,Spain
15,2017-12-01,16.6,Spain
16,2018-01-01,16.5,Spain
17,2018-02-01,16.4,Spain
18,2018-03-01,16.0,Spain
19,2018-04-01,15.7,Spain
20,2018-05-01,15.4,Spain
21,2018-06-01,15.1,Spain
22,2018-07-01,14.9,Spain
23,2018-08-01,14.8,Spain
24,2018-09-01,14.7,Spain
25,2018-10-01,14.6,Spain
26,2018-11-01,14.5,Spain
27,2018-12-01,14.4,Spain
28,2019-01-01,14.4,Spain
29,2019-02-01,14.4,Spain
30,2019-03-01,14.3,Spain
31,2019-04-01,14.1,Spain
32,2019-05-01,14.1,Spain
33,2019-06-01,14.1,Spain
34,2019-07-01,14.2,Spain
35,2019-08-01,14.2,Spain
36,2019-09-01,14.0,Spain
37,2019-10-01,13.9,Spain
38,2019-11-01,13.8,Spain
39,2019-12-01,13.8,Spain
40,2020-01-01,13.9,Spain
41,2020-02-01,13.7,Spain
42,2020-03-01,14.5,Spain
43,2020-04-01,15.1,Spain
44,2020-05-01,15.3,Spain
45,2020-06-01,15.9,Spain
46,2020-07-01,16.3,Spain
47,2020-08-01,16.6,Spain
48,2020-09-01,16.5,Spain
49,2020-10-01,16.3,Spain
50,2020-11-01,16.2,Spain
51,2020-12-01,16.2,Spain
52,2021-01-01,15.8,Spain
53,2021-02-01,15.7,Spain
54,2021-03-01,15.4,Spain
55,2021-04-01,15.4,Spain
56,2021-05-01,15.4,Spain
57,2021-06-01,15.3,Spain
58,2021-07-01,15.0,Spain
59,2021-08-01,14.8,Spain
60,2021-09-01,14.6,Spain
