,DATE,unemp,Country
0,2016-09-01,9.9,EURO
1,2016-10-01,9.8,EURO
2,2016-11-01,9.8,EURO
3,2016-12-01,9.7,EURO
4,2017-01-01,9.6,EURO
5,2017-02-01,9.5,EURO
6,2017-03-01,9.4,EURO
7,2017-04-01,9.2,EURO
8,2017-05-01,9.2,EURO
9,2017-06-01,9.1,EURO
10,2017-07-01,9.0,EURO
11,2017-08-01,9.0,EURO
12,2017-09-01,8.9,EURO
13,2017-10-01,8.8,EURO
14,2017-11-01,8.7,EURO
15,2017-12-01,8.7,EURO
16,2018-01-01,8.7,EURO
17,2018-02-01,8.6,EURO
18,2018-03-01,8.5,EURO
19,2018-04-01,8.4,EURO
20,2018-05-01,8.3,EURO
21,2018-06-01,8.2,EURO
22,2018-07-01,8.1,EURO
23,2018-08-01,8.0,EURO
24,2018-09-01,8.0,EURO
25,2018-10-01,8.0,EURO
26,2018-11-01,7.9,EURO
27,2018-12-01,7.8,EURO
28,2019-01-01,7.8,EURO
29,2019-02-01,7.8,EURO
30,2019-03-01,7.7,EURO
31,2019-04-01,7.7,EURO
32,2019-05-01,7.7,EURO
33,2019-06-01,7.5,EURO
34,2019-07-01,7.5,EURO
35,2019-08-01,7.4,EURO
36,2019-09-01,7.4,EURO
37,2019-10-01,7.4,EURO
38,2019-11-01,7.5,EURO
39,2019-12-01,7.4,EURO
40,2020-01-01,7.5,EURO
41,2020-02-01,7.4,EURO
42,2020-03-01,7.1,EURO
43,2020-04-01,7.3,EURO
44,2020-05-01,7.5,EURO
45,2020-06-01,8.0,EURO
46,2020-07-01,8.4,EURO
47,2020-08-01,8.6,EURO
48,2020-09-01,8.6,EURO
49,2020-10-01,8.4,EURO
50,2020-11-01,8.1,EURO
51,2020-12-01,8.1,EURO
52,2021-01-01,8.2,EURO
53,2021-02-01,8.1,EURO
54,2021-03-01,8.1,EURO
55,2021-04-01,8.1,EURO
56,2021-05-01,8.0,EURO
57,2021-06-01,7.8,EURO
58,2021-07-01,7.6,EURO
59,2021-08-01,7.5,EURO
60,2021-09-01,7.4,EURO
