,DATE,unemp,Country
0,2016-09-01,9.9,France
1,2016-10-01,10.0,France
2,2016-11-01,10.0,France
3,2016-12-01,10.0,France
4,2017-01-01,9.7,France
5,2017-02-01,9.6,France
6,2017-03-01,9.6,France
7,2017-04-01,9.5,France
8,2017-05-01,9.5,France
9,2017-06-01,9.5,France
10,2017-07-01,9.6,France
11,2017-08-01,9.5,France
12,2017-09-01,9.3,France
13,2017-10-01,9.2,France
14,2017-11-01,9.1,France
15,2017-12-01,9.1,France
16,2018-01-01,9.2,France
17,2018-02-01,9.2,France
18,2018-03-01,9.2,France
19,2018-04-01,9.2,France
20,2018-05-01,9.2,France
21,2018-06-01,9.1,France
22,2018-07-01,8.9,France
23,2018-08-01,8.9,France
24,2018-09-01,8.9,France
25,2018-10-01,8.8,France
26,2018-11-01,8.8,France
27,2018-12-01,8.8,France
28,2019-01-01,8.7,France
29,2019-02-01,8.6,France
30,2019-03-01,8.7,France
31,2019-04-01,8.6,France
32,2019-05-01,8.8,France
33,2019-06-01,8.7,France
34,2019-07-01,8.3,France
35,2019-08-01,8.2,France
36,2019-09-01,8.1,France
37,2019-10-01,8.1,France
38,2019-11-01,8.1,France
39,2019-12-01,8.1,France
40,2020-01-01,8.1,France
41,2020-02-01,7.7,France
42,2020-03-01,7.5,France
43,2020-04-01,7.5,France
44,2020-05-01,7.1,France
45,2020-06-01,7.5,France
46,2020-07-01,8.6,France
47,2020-08-01,9.0,France
48,2020-09-01,9.0,France
49,2020-10-01,8.3,France
50,2020-11-01,8.0,France
51,2020-12-01,7.8,France
52,2021-01-01,7.9,France
53,2021-02-01,8.1,France
54,2021-03-01,8.1,France
55,2021-04-01,8.3,France
56,2021-05-01,8.3,France
57,2021-06-01,8.0,France
58,2021-07-01,8.0,France
59,2021-08-01,8.0,France
60,2021-09-01,7.7,France
