,DATE,unemp,Country
0,2016-09-01,23.1,Greece
1,2016-10-01,23.0,Greece
2,2016-11-01,23.4,Greece
3,2016-12-01,23.6,Greece
4,2017-01-01,22.9,Greece
5,2017-02-01,22.7,Greece
6,2017-03-01,22.4,Greece
7,2017-04-01,21.5,Greece
8,2017-05-01,21.9,Greece
9,2017-06-01,21.4,Greece
10,2017-07-01,20.9,Greece
11,2017-08-01,21.0,Greece
12,2017-09-01,20.9,Greece
13,2017-10-01,20.8,Greece
14,2017-11-01,21.1,Greece
15,2017-12-01,20.9,Greece
16,2018-01-01,20.4,Greece
17,2018-02-01,20.7,Greece
18,2018-03-01,20.3,Greece
19,2018-04-01,19.8,Greece
20,2018-05-01,19.3,Greece
21,2018-06-01,19.2,Greece
22,2018-07-01,19.0,Greece
23,2018-08-01,19.0,Greece
24,2018-09-01,18.8,Greece
25,2018-10-01,18.7,Greece
26,2018-11-01,18.6,Greece
27,2018-12-01,18.3,Greece
28,2019-01-01,18.8,Greece
29,2019-02-01,18.5,Greece
30,2019-03-01,17.9,Greece
31,2019-04-01,17.9,Greece
32,2019-05-01,17.0,Greece
33,2019-06-01,16.7,Greece
34,2019-07-01,17.2,Greece
35,2019-08-01,16.7,Greece
36,2019-09-01,16.8,Greece
37,2019-10-01,16.8,Greece
38,2019-11-01,16.5,Greece
39,2019-12-01,16.4,Greece
40,2020-01-01,16.6,Greece
41,2020-02-01,15.9,Greece
42,2020-03-01,16.2,Greece
43,2020-04-01,16.2,Greece
44,2020-05-01,16.8,Greece
45,2020-06-01,17.6,Greece
46,2020-07-01,16.6,Greece
47,2020-08-01,16.8,Greece
48,2020-09-01,16.3,Greece
49,2020-10-01,16.3,Greece
50,2020-11-01,16.0,Greece
51,2020-12-01,15.6,Greece
52,2021-01-01,16.4,Greece
53,2021-02-01,16.4,Greece
54,2021-03-01,17.2,Greece
55,2021-04-01,17.4,Greece
56,2021-05-01,15.8,Greece
57,2021-06-01,14.8,Greece
58,2021-07-01,14.1,Greece
59,2021-08-01,13.8,Greece
60,2021-09-01,13.3,Greece
