,COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
0,Afghanistan,AFG,EMRO,REPORTING,2021-09-16,2367948.0,956131.0,6.083,2.456,1411817.0,3.627,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-22,4.0
1,Albania,ALB,EURO,OWID,2021-09-24,1693555.0,932595.0,58.849,32.407,760960.0,26.442,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Gamaleya - Sputnik V",,4.0
2,Algeria,DZA,AFRO,REPORTING,2021-09-25,14082920.0,6017036.0,32.115,13.722,4032942.0,9.197,"Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,SII - Covishield",2021-01-30,3.0
3,American Samoa,ASM,WPRO,REPORTING,2021-09-14,58228.0,32223.0,105.491,58.378,26551.0,48.102,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-21,3.0
4,Andorra,AND,EURO,OWID,2021-08-29,93430.0,51599.0,120.922,66.782,41831.0,54.14,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,2.0
5,Angola,AGO,AFRO,REPORTING,2021-09-26,3134137.0,2127405.0,9.536,6.473,1006732.0,3.063,SII - Covishield,2021-03-10,1.0
6,Anguilla,AIA,AMRO,REPORTING,2021-09-24,18584.0,9498.0,123.877,63.312,9086.0,60.565,AstraZeneca - Vaxzevria,2021-02-05,1.0
7,Antigua and Barbuda,ATG,AMRO,REPORTING,2021-09-24,86542.0,47960.0,88.372,48.974,38582.0,39.398,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-19,6.0
8,Argentina,ARG,AMRO,REPORTING,2021-09-24,50277880.0,29308961.0,111.245,64.849,21003681.0,46.473,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Ad5-nCOV,Gamaleya - Sputnik V,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",2020-12-29,7.0
9,Armenia,ARM,EURO,OWID,2021-09-19,366779.0,237454.0,12.378,8.013,129325.0,4.364,"AstraZeneca - AZD1222, Sinovac - CoronaVac, Gamaleya - Sputnik V",,3.0
10,Aruba,ABW,AMRO,REPORTING,2021-09-24,154834.0,80770.0,145.022,75.651,74064.0,69.37,"Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty",2021-02-17,2.0
11,Australia,AUS,WPRO,REPORTING,2021-09-11,22669372.0,13907333.0,88.9,54.539,8720390.0,34.198,"AstraZeneca - Vaxzevria,Novavax - Covavax,Pfizer BioNTech - Comirnaty",2021-02-21,3.0
12,Austria,AUT,EURO,OWID,2021-09-25,10790751.0,5706093.0,121.23,64.106,5388466.0,60.537,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",,4.0
13,Azerbaijan,AZE,EURO,OWID,2021-09-26,8349945.0,4713750.0,82.353,46.49,3636195.0,35.863,"AstraZeneca - AZD1222, Sinovac - CoronaVac, Gamaleya - Sputnik V",,3.0
14,Bahamas,BHS,AMRO,REPORTING,2021-09-24,184461.0,114333.0,46.908,29.074,70128.0,17.833,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-14,4.0
15,Bahrain,BHR,EMRO,REPORTING,2021-09-25,2553691.0,1163222.0,150.078,68.361,1109912.0,65.229,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",2020-11-04,7.0
